,img_path,label,label_explain,category,category_label
0,../garbage_classify_v2/train_data_v2/img_1.jpg,0,其他垃圾/一次性快餐盒,其他垃圾,1
1,../garbage_classify_v2/train_data_v2/img_2.jpg,0,其他垃圾/一次性快餐盒,其他垃圾,1
2,../garbage_classify_v2/train_data_v2/img_4.jpg,0,其他垃圾/一次性快餐盒,其他垃圾,1
3,../garbage_classify_v2/train_data_v2/img_5.jpg,0,其他垃圾/一次性快餐盒,其他垃圾,1
4,../garbage_classify_v2/train_data_v2/img_6.jpg,0,其他垃圾/一次性快餐盒,其他垃圾,1
5,../garbage_classify_v2/train_data_v2/img_9.jpg,0,其他垃圾/一次性快餐盒,其他垃圾,1
6,../garbage_classify_v2/train_data_v2/img_10.jpg,0,其他垃圾/一次性快餐盒,其他垃圾,1
7,../garbage_classify_v2/train_data_v2/img_11.jpg,0,其他垃圾/一次性快餐盒,其他垃圾,1
8,../garbage_classify_v2/train_data_v2/img_13.jpg,0,其他垃圾/一次性快餐盒,其他垃圾,1
9,../garbage_classify_v2/train_data_v2/img_14.jpg,0,其他垃圾/一次性快餐盒,其他垃圾,1
10,../garbage_classify_v2/train_data_v2/img_15.jpg,0,其他垃圾/一次性快餐盒,其他垃圾,1
11,../garbage_classify_v2/train_data_v2/img_17.jpg,0,其他垃圾/一次性快餐盒,其他垃圾,1
12,../garbage_classify_v2/train_data_v2/img_18.jpg,0,其他垃圾/一次性快餐盒,其他垃圾,1
13,../garbage_classify_v2/train_data_v2/img_19.jpg,0,其他垃圾/一次性快餐盒,其他垃圾,1
14,../garbage_classify_v2/train_data_v2/img_22.jpg,0,其他垃圾/一次性快餐盒,其他垃圾,1
15,../garbage_classify_v2/train_data_v2/img_23.jpg,0,其他垃圾/一次性快餐盒,其他垃圾,1
16,../garbage_classify_v2/train_data_v2/img_24.jpg,0,其他垃圾/一次性快餐盒,其他垃圾,1
17,../garbage_classify_v2/train_data_v2/img_26.jpg,4,其他垃圾/破碎花盆及碟碗,其他垃圾,1
18,../garbage_classify_v2/train_data_v2/img_27.jpg,0,其他垃圾/一次性快餐盒,其他垃圾,1
19,../garbage_classify_v2/train_data_v2/img_28.jpg,0,其他垃圾/一次性快餐盒,其他垃圾,1
20,../garbage_classify_v2/train_data_v2/img_29.jpg,0,其他垃圾/一次性快餐盒,其他垃圾,1
21,../garbage_classify_v2/train_data_v2/img_30.jpg,0,其他垃圾/一次性快餐盒,其他垃圾,1
22,../garbage_classify_v2/train_data_v2/img_31.jpg,0,其他垃圾/一次性快餐盒,其他垃圾,1
23,../garbage_classify_v2/train_data_v2/img_32.jpg,0,其他垃圾/一次性快餐盒,其他垃圾,1
24,../garbage_classify_v2/train_data_v2/img_33.jpg,0,其他垃圾/一次性快餐盒,其他垃圾,1
25,../garbage_classify_v2/train_data_v2/img_35.jpg,0,其他垃圾/一次性快餐盒,其他垃圾,1
26,../garbage_classify_v2/train_data_v2/img_36.jpg,0,其他垃圾/一次性快餐盒,其他垃圾,1
27,../garbage_classify_v2/train_data_v2/img_37.jpg,0,其他垃圾/一次性快餐盒,其他垃圾,1
28,../garbage_classify_v2/train_data_v2/img_38.jpg,0,其他垃圾/一次性快餐盒,其他垃圾,1
29,../garbage_classify_v2/train_data_v2/img_40.jpg,0,其他垃圾/一次性快餐盒,其他垃圾,1
