,img_path,label,label_explain
0,../garbage_classify_v2/train_data_v2/img_1.jpg,0,其他垃圾/一次性快餐盒
1,../garbage_classify_v2/train_data_v2/img_2.jpg,0,其他垃圾/一次性快餐盒
2,../garbage_classify_v2/train_data_v2/img_4.jpg,0,其他垃圾/一次性快餐盒
3,../garbage_classify_v2/train_data_v2/img_5.jpg,0,其他垃圾/一次性快餐盒
4,../garbage_classify_v2/train_data_v2/img_6.jpg,0,其他垃圾/一次性快餐盒
5,../garbage_classify_v2/train_data_v2/img_9.jpg,0,其他垃圾/一次性快餐盒
6,../garbage_classify_v2/train_data_v2/img_10.jpg,0,其他垃圾/一次性快餐盒
7,../garbage_classify_v2/train_data_v2/img_11.jpg,0,其他垃圾/一次性快餐盒
8,../garbage_classify_v2/train_data_v2/img_13.jpg,0,其他垃圾/一次性快餐盒
9,../garbage_classify_v2/train_data_v2/img_14.jpg,0,其他垃圾/一次性快餐盒
10,../garbage_classify_v2/train_data_v2/img_15.jpg,0,其他垃圾/一次性快餐盒
11,../garbage_classify_v2/train_data_v2/img_17.jpg,0,其他垃圾/一次性快餐盒
12,../garbage_classify_v2/train_data_v2/img_18.jpg,0,其他垃圾/一次性快餐盒
13,../garbage_classify_v2/train_data_v2/img_19.jpg,0,其他垃圾/一次性快餐盒
14,../garbage_classify_v2/train_data_v2/img_22.jpg,0,其他垃圾/一次性快餐盒
15,../garbage_classify_v2/train_data_v2/img_23.jpg,0,其他垃圾/一次性快餐盒
16,../garbage_classify_v2/train_data_v2/img_24.jpg,0,其他垃圾/一次性快餐盒
17,../garbage_classify_v2/train_data_v2/img_26.jpg,4,其他垃圾/破碎花盆及碟碗
18,../garbage_classify_v2/train_data_v2/img_27.jpg,0,其他垃圾/一次性快餐盒
19,../garbage_classify_v2/train_data_v2/img_28.jpg,0,其他垃圾/一次性快餐盒
20,../garbage_classify_v2/train_data_v2/img_29.jpg,0,其他垃圾/一次性快餐盒
21,../garbage_classify_v2/train_data_v2/img_30.jpg,0,其他垃圾/一次性快餐盒
22,../garbage_classify_v2/train_data_v2/img_31.jpg,0,其他垃圾/一次性快餐盒
23,../garbage_classify_v2/train_data_v2/img_32.jpg,0,其他垃圾/一次性快餐盒
24,../garbage_classify_v2/train_data_v2/img_33.jpg,0,其他垃圾/一次性快餐盒
25,../garbage_classify_v2/train_data_v2/img_35.jpg,0,其他垃圾/一次性快餐盒
26,../garbage_classify_v2/train_data_v2/img_36.jpg,0,其他垃圾/一次性快餐盒
27,../garbage_classify_v2/train_data_v2/img_37.jpg,0,其他垃圾/一次性快餐盒
28,../garbage_classify_v2/train_data_v2/img_38.jpg,0,其他垃圾/一次性快餐盒
29,../garbage_classify_v2/train_data_v2/img_40.jpg,0,其他垃圾/一次性快餐盒
30,../garbage_classify_v2/train_data_v2/img_41.jpg,0,其他垃圾/一次性快餐盒
31,../garbage_classify_v2/train_data_v2/img_42.jpg,0,其他垃圾/一次性快餐盒
32,../garbage_classify_v2/train_data_v2/img_44.jpg,0,其他垃圾/一次性快餐盒
33,../garbage_classify_v2/train_data_v2/img_47.jpg,0,其他垃圾/一次性快餐盒
34,../garbage_classify_v2/train_data_v2/img_48.jpg,0,其他垃圾/一次性快餐盒
35,../garbage_classify_v2/train_data_v2/img_49.jpg,0,其他垃圾/一次性快餐盒
36,../garbage_classify_v2/train_data_v2/img_51.jpg,0,其他垃圾/一次性快餐盒
37,../garbage_classify_v2/train_data_v2/img_52.jpg,0,其他垃圾/一次性快餐盒
38,../garbage_classify_v2/train_data_v2/img_53.jpg,0,其他垃圾/一次性快餐盒
39,../garbage_classify_v2/train_data_v2/img_54.jpg,0,其他垃圾/一次性快餐盒
40,../garbage_classify_v2/train_data_v2/img_56.jpg,0,其他垃圾/一次性快餐盒
41,../garbage_classify_v2/train_data_v2/img_58.jpg,0,其他垃圾/一次性快餐盒
